['5', '0', '2', '1', '5', '0', '3', '10', '6', '0', '0', '0', '0', '0', '0', '22', '0', '8']
['6', '0', '2', '2', '4', '0', '3', '10', '8', '0', '0', '0', '0', '0', '0', '22', '0', '7']
['6', '0', '2', '2', '5', '0', '2', '9', '6', '0', '1', '0', '0', '0', '0', '22', '0', '8']
['6', '0', '2', '2', '6', '0', '2', '10', '6', '0', '0', '0', '0', '0', '0', '21', '0', '8']
['6', '0', '2', '2', '4', '1', '2', '10', '6', '0', '0', '0', '0', '0', '0', '21', '0', '9']
['5', '0', '2', '2', '5', '0', '3', '10', '6', '0', '0', '0', '0', '0', '0', '21', '0', '7']
['6', '0', '2', '2', '4', '0', '2', '9', '7', '0', '0', '0', '0', '0', '0', '21', '0', '8']
['6', '0', '3', '2', '5', '0', '3', '10', '8', '0', '0', '0', '0', '0', '0', '22', '0', '8']
['5', '0', '3', '2', '6', '0', '2', '9', '6', '0', '0', '0', '0', '0', '0', '22', '0', '9']
['6', '0', '2', '2', '5', '0', '2', '9', '7', '0', '0', '0', '0', '0', '0', '22', '0', '8']
['6', '0', '2', '2', '5', '0', '2', '9', '6', '0', '0', '0', '0', '0', '0', '22', '0', '8']
['6', '0', '2', '2', '4', '0', '3', '10', '6', '0', '0', '0', '0', '0', '0', '22', '0', '7']
['6', '0', '3', '2', '6', '0', '2', '10', '7', '0', '0', '0', '0', '0', '0', '22', '0', '8']
['6', '0', '2', '2', '7', '1', '2', '10', '7', '0', '1', '0', '0', '0', '0', '21', '0', '8']
['6', '0', '2', '2', '5', '0', '2', '9', '6', '0', '0', '0', '0', '0', '0', '21', '0', '7']
['6', '0', '3', '2', '5', '0', '2', '10', '6', '0', '0', '0', '0', '0', '0', '22', '0', '7']
['6', '0', '2', '2', '3', '0', '2', '9', '6', '0', '0', '0', '0', '0', '0', '21', '0', '7']
['6', '0', '2', '3', '5', '0', '4', '10', '7', '0', '1', '0', '0', '0', '0', '22', '0', '8']
['6', '0', '3', '3', '7', '0', '2', '10', '7', '0', '0', '0', '0', '0', '0', '22', '0', '8']
['6', '0', '2', '3', '5', '0', '3', '9', '6', '0', '0', '0', '0', '0', '0', '21', '0', '8']
['6', '0', '2', '2', '5', '0', '2', '9', '6', '0', '0', '0', '0', '0', '0', '21', '0', '8']
['6', '0', '2', '2', '5', '0', '2', '9', '6', '0', '0', '0', '1', '0', '0', '21', '0', '8']
['6', '0', '2', '2', '4', '0', '1', '10', '7', '0', '0', '0', '0', '1', '0', '22', '0', '7']
['6', '0', '2', '3', '6', '0', '3', '10', '6', '0', '0', '0', '0', '0', '0', '21', '0', '8']
['6', '0', '2', '2', '5', '2', '2', '9', '7', '0', '0', '0', '0', '0', '0', '22', '0', '8']
['7', '0', '2', '2', '4', '0', '3', '9', '7', '0', '0', '0', '0', '0', '0', '21', '0', '8']
['6', '0', '2', '1', '5', '0', '3', '10', '6', '0', '0', '0', '0', '0', '0', '21', '0', '8']
['6', '0', '3', '2', '4', '0', '3', '9', '6', '0', '0', '0', '0', '0', '0', '21', '0', '9']
['6', '0', '3', '3', '5', '0', '3', '10', '6', '0', '0', '0', '0', '0', '0', '21', '0', '9']
['6', '0', '2', '2', '7', '1', '3', '10', '6', '0', '0', '0', '0', '0', '0', '21', '0', '8']
['6', '0', '2', '2', '5', '0', '3', '10', '6', '0', '0', '0', '0', '0', '0', '22', '0', '8']
['6', '0', '2', '2', '4', '0', '2', '10', '6', '0', '0', '0', '0', '0', '0', '21', '0', '8']
