['8', '0', '1', '2', '6', '0', '0', '11', '4', '0', '0', '0', '2', '3', '0', '0', '3', '8']
['9', '1', '1', '2', '5', '0', '0', '11', '4', '0', '0', '0', '2', '3', '0', '0', '3', '9']
['9', '0', '1', '2', '6', '0', '0', '10', '3', '0', '0', '0', '3', '4', '0', '0', '3', '6']
['9', '1', '2', '1', '5', '0', '0', '12', '3', '0', '0', '0', '4', '4', '0', '0', '3', '8']
['10', '1', '2', '2', '6', '0', '0', '12', '4', '0', '2', '0', '4', '4', '0', '0', '5', '9']
['12', '0', '1', '2', '8', '0', '0', '11', '4', '0', '0', '0', '2', '4', '0', '0', '6', '8']
['11', '1', '1', '2', '6', '0', '0', '12', '3', '0', '0', '0', '3', '4', '0', '1', '5', '8']
['9', '0', '0', '2', '5', '1', '0', '12', '3', '0', '0', '0', '2', '4', '0', '2', '3', '8']
['9', '1', '1', '2', '5', '0', '1', '12', '3', '0', '0', '0', '3', '5', '0', '2', '3', '7']
['9', '1', '2', '2', '6', '0', '0', '12', '4', '0', '0', '1', '3', '4', '0', '2', '3', '8']
['9', '0', '1', '3', '8', '1', '0', '12', '4', '0', '0', '0', '2', '4', '0', '2', '3', '8']
['9', '1', '2', '2', '5', '0', '0', '12', '3', '0', '0', '0', '2', '4', '0', '2', '3', '8']
['9', '0', '2', '2', '6', '0', '0', '11', '3', '0', '0', '0', '3', '4', '0', '2', '3', '7']
['9', '0', '2', '1', '4', '0', '0', '11', '3', '0', '0', '0', '3', '4', '0', '2', '3', '8']
['11', '1', '1', '2', '5', '0', '0', '11', '4', '0', '0', '0', '2', '4', '0', '1', '6', '7']
['10', '0', '2', '2', '7', '0', '0', '12', '4', '0', '0', '0', '3', '4', '0', '0', '5', '8']
['8', '0', '2', '2', '6', '0', '0', '11', '4', '0', '0', '0', '2', '4', '0', '2', '3', '8']
['9', '0', '1', '2', '6', '0', '0', '11', '3', '0', '0', '0', '2', '4', '0', '2', '3', '8']
['10', '0', '2', '1', '6', '0', '0', '11', '3', '0', '0', '0', '3', '4', '0', '9', '5', '8']
['9', '1', '1', '2', '5', '0', '0', '11', '4', '0', '0', '0', '3', '5', '0', '2', '3', '8']
['9', '1', '2', '2', '7', '1', '0', '11', '3', '0', '1', '0', '3', '4', '0', '2', '3', '8']
['10', '1', '1', '2', '6', '0', '0', '12', '3', '0', '0', '0', '2', '4', '0', '0', '6', '8']
['9', '0', '1', '1', '5', '0', '0', '11', '3', '0', '0', '0', '2', '4', '0', '2', '3', '9']
['9', '0', '1', '2', '6', '0', '1', '11', '3', '0', '0', '0', '3', '4', '0', '2', '3', '7']
['11', '1', '0', '1', '6', '0', '0', '11', '3', '0', '0', '0', '3', '5', '0', '0', '6', '8']
['11', '0', '1', '2', '6', '0', '0', '12', '4', '0', '1', '0', '3', '4', '0', '0', '6', '8']
['10', '1', '1', '2', '6', '1', '1', '12', '3', '0', '0', '1', '3', '4', '0', '0', '6', '8']
['10', '0', '1', '1', '6', '0', '0', '11', '4', '0', '0', '0', '3', '3', '0', '0', '7', '9']
['10', '1', '1', '1', '6', '0', '0', '11', '3', '0', '1', '0', '3', '4', '0', '9', '5', '8']
['11', '1', '1', '2', '5', '0', '0', '11', '3', '0', '0', '0', '3', '5', '0', '0', '7', '8']
['10', '1', '1', '2', '6', '0', '0', '11', '3', '0', '0', '0', '3', '4', '0', '0', '7', '7']
['11', '1', '1', '3', '7', '1', '0', '12', '3', '0', '0', '0', '2', '4', '0', '0', '6', '8']
['10', '0', '1', '1', '6', '0', '0', '12', '4', '0', '0', '0', '2', '3', '0', '9', '6', '8']
['10', '1', '2', '1', '7', '1', '0', '12', '3', '0', '0', '0', '2', '4', '0', '0', '6', '7']
['10', '0', '1', '1', '5', '0', '0', '11', '4', '0', '0', '0', '3', '4', '0', '0', '5', '8']
['11', '1', '1', '2', '4', '0', '0', '11', '3', '0', '0', '0', '3', '4', '0', '0', '6', '7']
['10', '1', '2', '3', '7', '0', '0', '11', '4', '0', '1', '0', '2', '4', '0', '0', '6', '8']
['10', '1', '1', '2', '6', '0', '0', '12', '3', '0', '0', '0', '3', '4', '0', '9', '5', '8']
['9', '0', '2', '2', '6', '0', '0', '11', '3', '0', '0', '0', '2', '4', '0', '2', '3', '8']
['8', '0', '1', '1', '5', '0', '0', '11', '3', '0', '0', '0', '3', '5', '0', '1', '3', '7']
['10', '0', '1', '1', '5', '0', '0', '11', '3', '0', '0', '0', '3', '5', '0', '0', '6', '8']
['10', '1', '2', '2', '7', '1', '0', '11', '5', '0', '0', '0', '2', '4', '0', '0', '6', '8']
['9', '0', '2', '2', '7', '0', '0', '11', '4', '0', '0', '0', '2', '4', '0', '2', '3', '8']
['10', '1', '2', '2', '6', '0', '0', '12', '3', '0', '0', '0', '3', '4', '0', '9', '6', '8']
['10', '0', '0', '2', '6', '1', '0', '12', '3', '0', '0', '0', '2', '4', '0', '0', '6', '7']
['9', '0', '1', '1', '6', '0', '0', '11', '3', '0', '0', '0', '2', '4', '0', '1', '3', '7']
['10', '2', '2', '3', '6', '0', '0', '12', '3', '0', '0', '0', '2', '4', '0', '1', '5', '8']
['10', '0', '1', '3', '7', '0', '0', '11', '3', '0', '0', '0', '2', '4', '0', '0', '6', '7']
['10', '0', '1', '2', '6', '1', '0', '11', '4', '0', '0', '0', '2', '4', '0', '0', '6', '8']
['10', '0', '2', '1', '6', '0', '0', '11', '3', '0', '0', '0', '3', '4', '0', '0', '5', '8']
['9', '1', '1', '2', '4', '0', '0', '11', '4', '0', '0', '0', '3', '5', '0', '2', '3', '8']
['9', '1', '1', '2', '6', '0', '0', '11', '4', '0', '0', '0', '2', '4', '0', '2', '3', '8']
['9', '0', '2', '2', '6', '1', '0', '11', '3', '0', '1', '1', '3', '4', '0', '2', '3', '9']
['9', '1', '1', '1', '6', '0', '0', '12', '4', '1', '0', '0', '2', '4', '0', '1', '3', '8']
['10', '1', '2', '2', '6', '1', '0', '11', '4', '0', '0', '0', '2', '4', '0', '9', '5', '7']
