['6', '2', '2', '2', '6', '1', '3', '11', '0', '16', '0', '0', '0', '0', '0', '0', '0', '8']
['8', '3', '3', '2', '4', '0', '3', '11', '0', '17', '0', '0', '0', '0', '0', '0', '0', '8']
['7', '2', '3', '2', '5', '0', '2', '11', '0', '16', '0', '0', '0', '0', '0', '0', '0', '8']
['7', '2', '3', '2', '2', '0', '2', '11', '0', '16', '0', '0', '1', '1', '0', '1', '0', '8']
['7', '2', '3', '2', '4', '0', '4', '12', '0', '17', '0', '0', '0', '0', '0', '0', '2', '8']
['7', '3', '2', '1', '6', '0', '2', '12', '0', '17', '0', '0', '0', '0', '0', '0', '0', '8']
['7', '3', '2', '2', '4', '1', '3', '11', '0', '17', '0', '0', '0', '0', '0', '0', '0', '8']
['7', '3', '2', '0', '4', '0', '3', '10', '0', '17', '0', '0', '0', '0', '0', '1', '0', '8']
['6', '3', '2', '1', '4', '0', '3', '11', '0', '17', '0', '0', '0', '0', '0', '1', '0', '7']
['7', '2', '2', '2', '4', '0', '3', '11', '0', '17', '0', '0', '1', '0', '0', '1', '0', '8']
['7', '3', '2', '2', '6', '0', '3', '11', '0', '17', '0', '0', '0', '0', '0', '1', '2', '9']
['7', '2', '2', '2', '6', '2', '3', '11', '0', '17', '0', '0', '0', '0', '0', '1', '0', '8']
['7', '3', '3', '2', '5', '0', '3', '11', '0', '16', '0', '0', '0', '0', '0', '0', '0', '8']
['7', '3', '2', '2', '4', '0', '1', '11', '0', '16', '0', '0', '0', '0', '0', '1', '0', '9']
['8', '3', '2', '1', '3', '0', '3', '12', '0', '16', '0', '0', '1', '1', '0', '0', '0', '7']
['7', '3', '2', '1', '5', '0', '3', '12', '0', '17', '0', '0', '0', '0', '0', '0', '0', '8']
['7', '2', '2', '2', '6', '0', '3', '11', '0', '17', '0', '0', '0', '0', '0', '1', '0', '9']
['7', '3', '3', '2', '4', '0', '3', '11', '0', '17', '0', '0', '0', '0', '0', '1', '0', '8']
['7', '3', '3', '2', '4', '0', '3', '11', '0', '16', '0', '0', '0', '0', '0', '0', '0', '8']
['7', '2', '2', '1', '4', '0', '3', '12', '0', '17', '0', '0', '0', '1', '0', '0', '0', '8']
['7', '3', '2', '2', '4', '0', '3', '12', '0', '17', '0', '0', '0', '0', '0', '1', '0', '9']
['7', '3', '3', '2', '6', '1', '3', '11', '0', '17', '0', '0', '0', '0', '0', '1', '0', '8']
['7', '2', '2', '2', '6', '1', '3', '11', '0', '17', '0', '0', '0', '0', '0', '1', '0', '8']
['7', '2', '2', '2', '5', '0', '2', '12', '0', '17', '0', '0', '0', '0', '0', '1', '0', '8']
